id;asset_number;asset_tag;service_outlet_code;transaction_id;transaction_date;capitalization_date;asset_category;asset_details;asset_cost;supplier;historical_cost;registration_date
1;Corporate;synthesize Operations;sticky scalable white;purple;2024-01-24;2024-01-24;violet Granite;circuit streamline Communications;31158;deposit;93494;2024-01-24
2;Burg;digital Director;architecture Central Granite;Unbranded Kids;2024-01-24;2024-01-24;payment Associate;array Ball interfaces;96298;Nebraska;50075;2024-01-24
3;impactful New Refined;Central Route;Rubber Radial interfaces;Global hacking Regional;2024-01-25;2024-01-24;panel Berkshire Savings;Steel Fort transmitter;62672;payment Pizza Solutions;81399;2024-01-24
4;Handmade;content-based Wooden Buckinghamshire;visionary Concrete;Anguilla;2024-01-24;2024-01-25;Granite;Shoes;82411;Incredible;79627;2024-01-24
5;disintermediate Pizza;face;adapter Rustic;programming next-generation;2024-01-25;2024-01-24;Towels Steel mobile;Cambridgeshire;83349;firewall;28676;2024-01-25
6;Supervisor;Refined;white radical service-desk;transform Barthelemy Configuration;2024-01-25;2024-01-25;Licensed;Guam bypassing;71745;content Oklahoma Qatar;24456;2024-01-25
7;Outdoors;Nevis;4th Hungary Accounts;IB Response;2024-01-25;2024-01-25;invoice deposit implement;Canyon yellow compressing;86281;Interactions;96501;2024-01-24
8;Unit backing;Interactions reciprocal;web-readiness reboot Internal;neural;2024-01-24;2024-01-25;connect Oman;optical;67070;metrics invoice Vanuatu;43266;2024-01-24
9;yellow California Strategist;Steel yellow next-generation;blue Practical Towels;bluetooth;2024-01-24;2024-01-24;parsing Shoes Verde;Analyst orange Chief;95892;Handmade;96758;2024-01-24
10;monetize;multi-byte;Fish Granite;digital Steel;2024-01-24;2024-01-24;syndicate bifurcated Robust;Maryland;67466;cross-platform Gorgeous compressing;35443;2024-01-24
